datetime,07BE001,07DD001,07DA001,07DA018,07DA040,07DA033,07CE013,07CE002,07CE007,07CD005,07CD001,07DB002,07DB003,07DA038,07DA039,07DA032,07DA041,07DC001,07DC003,07CE008,07CD004,07CD008,07CD009,07CB002,07DA027,07CE005,07DA026,07DA030,07DB006,07DB001,07DC004,07DA035,07DA029,07DA028,07DA008,07DA034,07CE003,07DA007,07DA042,07DA044,07DA006,07CE010,07DA037,07DA045,07CE001,07DA024,07DA023,07DA025
2025-11-10 12:00:00,0.66038764,0.42722628,0.4388597,0.17080769,0.16950001,0.3373,0.042083334,0.053217653,0.036331188,0.29915223,0.18828829,0.19931668,0.5293092,0.33646876,0.4930093,0.47809324,0.21441074,0.5501273,0.8546455,0.020660715,0.039172415,0.025027778,0.3306389,0.077383935,0.30687502,0.04049219,0.26256946,0.26577273,0.2750625,0.27044502,0.14891177,0.25523335,0.23099999,0.22279413,0.25093058,0.24814586,0.04321154,0.16726667,0.19783929,0.33423334,0.315625,0.047000002,0.40115005,0.39578128,0.018125001,0.27809998,0.15847917,1.0177501
2025-11-11 12:00:00,0.55026424,0.46049035,0.4797994,0.052480772,0.17830001,0.0845,0.121703714,0.05388823,0.117921405,1.0209497,0.62595594,0.064075,0.34876975,0.42121878,0.45142597,0.4145721,0.20955358,0.5368912,0.6678501,0.16461608,0.09868104,0.10677779,0.85463196,0.09657144,0.43459377,0.0020625,0.31161112,0.37150002,0.17230953,0.1490025,0.20657355,0.32768333,0.3094625,0.3551618,0.31605557,0.44062504,0.06536539,0.07008334,0.19167857,0.5330917,0.49391913,0.00035,0.322925,0.21940626,0.096562505,0.39845002,0.1285,0.70968187
2025-11-12 12:00:00,0.08516399,0.06792631,0.076953344,9.6153846e-05,0.0034500002,0.0013,0.49609262,0.23321179,0.13790335,0.013476815,0.06922738,0.0,0.0014276316,0.044031255,0.008819444,0.0080720335,0.004571429,0.015456019,0.023240909,0.07191964,0.20368105,0.51547223,0.011173611,0.3395,0.039843753,0.09582813,0.023819447,0.030409092,0.008235119,0.0069175004,0.001014706,0.026133334,0.010062501,0.011588236,0.01652778,0.016395835,0.20884615,0.00014999999,0.0026964287,0.03015,0.027264707,0.07113334,0.008,0.005,0.113953136,0.033025004,0.00039583337,0.006977273
2025-11-13 12:00:00,0.40014678,0.20156658,0.23017812,0.001346154,0.0010833334,0.0041500004,0.0,0.0,3.8659796e-06,0.0249748,0.014370651,0.010508333,0.035125002,0.0008125,0.0025462965,0.0034110171,0.00035714285,0.013747686,0.015836364,0.0,0.0,0.0,0.00090277777,0.0,0.0,0.0,0.0046111112,0.0010454546,0.021202382,0.019167501,0.0008529412,0.002216667,0.0019250002,0.00022058825,0.0034583334,0.0,0.0,0.002066667,0.0011428572,0.0,0.0007132353,0.0,0.0,0.0029062503,0.0,0.0,0.0012083334,0.0056363638
2025-11-14 12:00:00,5.9472623,6.4469423,6.273009,7.629231,7.0053334,7.4076247,6.4672313,4.497044,5.060205,11.042721,8.432213,6.183309,4.690224,9.504469,5.969514,6.0815973,6.969036,10.486073,11.270601,6.9404645,7.5786467,7.7062497,10.104348,5.2503395,9.619439,3.0744452,8.860875,9.42941,5.178649,5.47878,8.637515,9.205217,9.013787,9.232442,8.929153,9.555084,5.2046733,7.6573505,6.818393,9.753126,9.556876,2.8726335,6.89805,7.051016,7.2871723,9.543226,8.301459,5.1417503
2025-11-15 12:00:00,0.2520836,0.56279373,0.42738146,0.26690385,0.52720004,0.33222502,0.432713,0.32783532,0.4021031,1.4277954,0.9866195,0.24850836,0.3824934,0.9867813,0.608963,0.5800763,0.47207147,2.645757,2.0648954,0.46793753,0.5497845,0.8246667,1.1828474,0.35108036,1.3081564,0.29736722,0.6491528,1.1709092,0.28763098,0.2803775,0.8835148,1.0086,1.0394375,1.158456,0.8625001,1.4023542,0.17419232,0.26693335,0.5551607,0.9683667,0.9011912,0.38504997,0.52347505,0.4340625,0.61282814,1.242125,0.6029792,0.89650005
2025-11-16 12:00:00,0.15949382,0.14298996,0.1476006,0.14307693,0.006383334,0.016925002,0.26108336,0.16809118,0.10166624,0.04435081,0.07104931,0.21049167,0.3470724,0.0025937501,0.096527785,0.090432204,0.008178571,0.019516204,0.013154546,0.10419644,0.15666379,0.23091668,0.0031458335,0.216,0.00015625,0.10015626,0.008736112,0.00040909092,0.35366073,0.311165,0.003029412,0.0013000001,0.0018125002,0.0011470589,0.0061875004,8.333334e-05,0.17994231,0.12998335,0.0044999993,0.010441666,0.011705883,0.09868334,0.024300002,0.026421877,0.13521875,0.00020000001,0.0040833335,0.17120455
2025-11-17 12:00:00,0.021864517,0.2713101,0.04174012,0.21180771,2.107467,1.8563503,0.038611118,0.014547059,0.023667527,0.15647984,0.09898377,1.3644834,1.7036185,0.133125,2.421611,2.3167884,2.1669288,1.0270926,0.40336367,0.035857145,0.035155173,0.054666672,0.16752778,0.0054285717,0.22525,0.002109375,0.29905558,0.30759093,0.94738096,0.97604007,1.2221471,0.35293338,0.7345,0.7019706,0.5262778,0.49850002,0.02957692,0.21050002,2.3391786,0.078150004,0.09441177,0.0017333332,2.4138,2.0928438,0.042625003,0.29235,1.2934167,2.5296364
2025-11-18 12:00:00,0.17542742,0.6005826,0.33798528,0.43817312,2.1483333,1.3015251,0.13210188,0.07114706,0.089766756,1.4318953,0.85890603,1.0843416,1.803625,0.9116876,2.1465418,2.0337248,1.9800714,2.480653,2.1396182,0.12559822,0.18702586,0.16766667,0.8812987,0.08250893,1.0201875,0.03083594,0.8142778,1.0200001,1.0307441,1.0003276,1.4153824,0.98280007,1.1688501,1.227853,0.9984029,1.1991459,0.07936539,0.45578337,2.4967325,0.8824751,0.8595147,0.030716669,2.0403752,1.6580938,0.1359375,1.0429499,1.3294376,2.4928865
2025-11-19 12:00:00,1.7018117,0.917822,1.0561928,0.0,0.0,0.0,0.014194446,0.05672353,0.13594459,0.007906251,0.06573724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016696429,0.0022068967,0.006833333,6.2499996e-05,0.022937503,0.0,0.11777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011019232,0.0,0.0,0.0,0.0,0.14298335,0.0,0.0,0.0024375,0.0,0.0,0.0
2025-11-20 12:00:00,0.00455215,0.07403539,0.043808214,0.06917308,0.35693333,0.124,0.0017685185,0.0005794118,0.017715206,0.25995764,0.15481904,0.026491666,0.028223684,0.18746877,0.18921298,0.1802712,0.32201788,0.48151624,0.50702727,0.025223216,0.014956897,0.0033333334,0.18593751,0.0,0.277875,2.34375e-05,0.14025001,0.26909092,0.02200893,0.028492503,0.27136767,0.23851667,0.2919625,0.32052943,0.22248612,0.34552085,0.00086538465,0.07191668,0.3889822,0.18412499,0.17451471,0.0,0.2146,0.16570315,0.0150781255,0.281025,0.24475002,0.12409091
2025-11-21 12:00:00,0.06536183,0.058694538,0.053816568,0.11544231,0.0869,0.10892501,0.030250002,0.018202942,0.024623714,0.058888104,0.04474188,0.13208334,0.13330922,0.029968752,0.1144213,0.11222881,0.086625,0.046581022,0.036136363,0.04646429,0.063663796,0.03475,0.030493055,0.004151786,0.01875,0.015625,0.047013894,0.022295455,0.11911608,0.1166125,0.057147056,0.028816668,0.037925,0.032514706,0.04261111,0.019291667,0.040903848,0.10988334,0.09669643,0.03144167,0.034536768,0.006683334,0.11005001,0.10809375,0.04953125,0.020275,0.06904167,0.13004546
2025-11-22 12:00:00,0.52073926,1.2227803,1.1075348,1.3924232,2.1141002,1.4628,1.0687407,0.87298816,1.1496985,4.024259,2.7744358,0.69491667,0.44728288,3.7149377,0.95640284,1.0163729,1.5921609,3.5705047,4.096655,1.3445625,1.1824311,1.0859168,3.5414586,0.8490268,3.7728126,0.7853516,3.1751807,3.6183867,0.51897323,0.63856256,3.1188385,3.5348501,3.2963004,3.4474413,3.1864445,3.5710208,1.0071539,1.5230834,2.1537144,3.0710251,3.0590003,0.7219166,1.0775751,1.2531407,1.1649532,3.6895747,2.9985626,0.73704547
2025-11-23 12:00:00,1.9759266,0.9707464,1.117096,0.0,0.0,0.0,0.0,1.7647058e-05,3.2216492e-05,0.0,1.4501162e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-04,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 12:00:00,0.12483253,0.09648938,0.10320099,0.016134618,0.008766667,0.0020875,0.12055092,0.07948971,0.035119846,0.06865878,0.055311486,0.032,0.061000008,3.125e-05,0.004518518,0.0041991523,0.0052410713,0.04182523,0.05041364,0.00045535716,0.005926724,0.006777778,0.010937501,0.2306875,0.00020312502,0.0030351563,0.00095833343,0.00078409095,0.20845686,0.17555876,0.012669118,0.0016083332,0.0073625008,0.008235295,0.004145833,0.0037604168,0.05389423,0.013983335,0.008535714,0.0005958334,0.0005257353,0.000675,0.0017625,0.0016328125,0.000453125,0.00084999995,0.014781251,0.0010227273
